MAC,Date Time,Battery no.,,,,Voltage,Current,Remaining Capacity,FullCharge Capacity,Cycle Count,State of Health,Relative State of Charge,BMS operation Status,BMS Safety Status,Led Error0,PT_CTL0-1,PT_CTL2,Reserve,Reserve,Reserve,Reserve,Cell Voltage1,Cell Voltage2,Cell Voltage3,Cell Voltage4,Cell Voltage5,Cell Voltage6,Cell Voltage7,Cell Voltage8,Cell Voltage9,Cell Voltage10,Cell Voltage11,Cell Voltage12,Cell Voltage13,Cell Voltage14,Cell Voltage15,Cell Voltage16,Temperature1,Temperature2,Temperature3,Temperature4,Temperature5,Temperature6,Temperature7,Temperature8,Temperature9,Temperature10,Temperature11,Temperature12,Temperature13,Temperature14,Temperature15,Temperature16,Temperature17,Temperature18,Temperature19,Temperature20,Temperature21,MaxError,PendingEDV,ExAveCellVoltage,BatteryStatus,Operation Status0,Operation Status1,Safety Status0,Safety Status1,Gauging Status,Reserve,Reserve,Serial Number_1,Serial Number_2,Serial Number_3,Manufacturer Name1,Manufacturer Name2,Manufacturer Name3,Manufacturer Date,Serial Number,Device Chemistry1,BMS_FW Ver1,BMS_FW Ver2,BMS_FW Date
C8:F0:9E:2E:7E:80,2024-01-05 00:00:03,01030000004C443F,1,3,218,52410,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3280,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:07,01030000004C443F,1,3,218,52413,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3277,3277,3275,3277,3275,3275,3275,3275,3275,3275,3276,3275,3276,3275,3283,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:11,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3276,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:14,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:18,01030000004C443F,1,3,218,52412,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3276,3275,3276,3275,3282,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:22,01030000004C443F,1,3,218,52421,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3276,3275,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:26,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:30,01030000004C443F,1,3,218,52420,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3277,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3280,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:34,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3278,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:38,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3276,3272,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:42,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3274,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:46,01030000004C443F,1,3,218,52422,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3277,3277,3275,3277,3275,3274,3275,3275,3275,3275,3277,3275,3276,3275,3282,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:50,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:54,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3276,3272,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:00:57,01030000004C443F,1,3,218,52412,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3274,3275,3276,3276,3282,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:02,01030000004C443F,1,3,218,52420,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3277,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3280,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:05,01030000004C443F,1,3,218,52409,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3279,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:09,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3276,3277,3272,3275,3275,3276,3275,3275,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3279,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:13,01030000004C443F,1,3,218,52411,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3276,3275,3274,3275,3275,3276,3275,3276,3275,3276,3275,3281,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:17,01030000004C443F,1,3,218,52410,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3275,3275,3275,3275,3276,3275,3275,3275,3276,3275,3280,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:21,01030000004C443F,1,3,218,52412,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3276,3276,3277,3275,3277,3275,3275,3275,3275,3275,3275,3275,3275,3276,3275,3282,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3278,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
C8:F0:9E:2E:7E:80,2024-01-05 00:01:25,01030000004C443F,1,3,218,52412,0,2826,9966,3,100,29,3,0,0,0,0,65535,65535,65535,65535,3277,3276,3277,3275,3277,3274,3275,3275,3275,3276,3275,3275,3275,3276,3275,3282,65535,2960,2960,2960,2960,2960,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,65535,,100,2980,3275,192,263,0,0,0,464,65535,65535,BF-C4361,106207P,,NEOTEC,,,20231121,0x0001,LFP,V1.05o1,ail,20231201
